S 294TH ST,41ST AVE S,Columbia City
S GENESEE ST,41ST AVE S,Mount Baker
S LEO ST,56TH AVE S,Rainier View
N 46TH ST,GREEN LK WAY N,Wallingford
E ROANOKE ST,22ND AVE E,Montlake
NW BALLARD WAY,11TH AVE NW,West Woodland
EAST MARGINAL WAY S,14TH AVE S,Georgetown
SE 36TH ST,E MERCER WAY,Harrison/Denny-Blaine
28TH AVE NE,NE 125TH ST,Olympic Hills
35TH AVE NE,NE 115TH ST,Matthews Beach
SYLVAN WAY SW,HIGH PT DR SW,High Point
35TH AVE W,W MCGRAW ST,Briarcliff
SAHALEE WAY NE,NE 28TH PL,Lawton Park
28TH AVE W,W LYNN ST,Southeast Magnolia
GRANT LN,G WASHINGTON LN,University District
AIRPT WAY S,S DORIS ST,Mid-Beacon Hill
TRITON DR NW,NW ESPLANADE ST,North Beach/Blue Ridge
NE 65TH ST,15TH AVE NE,Ravenna
35TH AVE NE,NE 70TH ST,Bryant
NW MARKET ST,15TH AVE NW,West Woodland
MADISON ST,2ND AVE,Central Business District
8TH AVE NW,NW 127TH ST,Broadview
NE RAVENNA BLVD,WOODLAWN AVE NE,Green Lake
RAINIER AVE S,S DAWSON ST,Columbia City
AIRPT WAY S,SUMMERVILLE PL S,Industrial District
ROOSEVELT WAY NE,NE 56TH ST,University District
UNION AVE NE,NE 6TH ST,Central Business District
GREENWOOD AVE N,N 74TH ST,Phinney Ridge
DEXTER AVE N,HOWE ST,Westlake
NE 135TH ST,1ST AVE NE,Haller Lake
S MCCLELLAN ST,31ST AVE S,Mount Baker
5TH AVE NE,NE 127TH ST,Pinehurst
34TH AVE W,W BERTONA ST,Lawton Park
4TH AVE S,S MEAD ST,Georgetown
STATE ST,7TH AVE S,University District
BOREN AVE,VIRGINIA ST,Belltown
SW 320TH ST,36TH AVE SW,Arbor Heights
ROOSEVELT WAY NE,NE 95TH ST,Maple Leaf
S OTHELLO ST,46TH AVE S,Brighton
SE 272ND ST,137TH AVE SE,Olympic Hills
6TH AVE W,W GALER ST,West Queen Anne
AURORA AVE N,N 95TH ST,North College Park
15TH AVE S,S HANFORD ST,North Beacon Hill
S GENESEE ST,47TH AVE S,Seward Park
AIRPT WAY S,S HORTON ST,Industrial District
6TH AVE W,W SMITH ST,North Queen Anne
4TH AVE,MADISON ST,Central Business District
SW OREGON ST,44TH AVE SW,Genesee
BOYLSTON AVE E,E BOSTON ST,Broadway
94TH ST SW,PERIMETER RD,Georgetown
ALKI AVE SW,1200 BLK,Alki
NW MARKET ST,11TH AVE NW,West Woodland
QUEEN ANNE AVE N,W GALER ST,East Queen Anne
35TH AVE NE,NE 60TH ST,Bryant
28TH AVE NW,NW 85TH ST,North Beach/Blue Ridge
WESTERN AVE W,ELLIOTT AVE W,Lower Queen Anne
34TH AVE W,W MCGRAW ST,Southeast Magnolia
S GENESEE ST,38TH AVE S,Mount Baker
E UNION ST,31ST AVE,Madrona
GILMAN AVE W,23RD AVE W,Interbay
50TH AVE S,S GENESEE ST,Seward Park
SAND PT WAY NE,BARTLETT AVE NE,Cedar Park
236TH ST SW,56TH AVE W,Alki
1ST AVE,UNION ST,Central Business District
11TH AVE NE,NE 55TH ST,University District
3RD AVE NW,NW 125TH ST,Broadview
15TH AVE NW,NW LEARY WAY,West Woodland
2ND AVE,WALL ST,Belltown
E UNION ST,25TH AVE,Mann
GREENWOOD AVE N,N 70TH ST,Phinney Ridge
E YESLER WAY,29TH AVE,Leschi
E MADISON ST,38TH AVE E,Madison Park
23RD AVE S,S DEARBORN ST,Atlantic
E YESLER WAY,19TH AVE,Minor
RENTON AVE S,S NORFOLK ST,Rainier Beach
104TH AVE SE,SE 23RD ST,Victory Heights
DEXTER AVE N,HARRISON ST,South Lake Union
E UNION ST,12TH AVE,Broadway
16TH AVE SW,SW TRENTON ST,Highland Park
VIEW AVE NW,LOYAL AVE NW,North Beach/Blue Ridge
32ND AVE NW,NW 80TH ST,Sunset Hill
S HOLDEN ST,2ND AVE S,South Park
SE FAIRWOOD BLVD,138TH AVE SE,Bitter Lake
STEWART ST,4TH AVE,Belltown
S HENDERSON ST,53RD AVE S,Dunlap
SW IDA ST,41ST AVE SW,Gatewood
S OTHELLO ST,39TH AVE S,Holly Park
42ND AVE NE,NE 38TH ST,Laurelhurst
AIRPT WAY S,S COLLEGE ST,Industrial District
UNION AVE SE,SE 2ND PL,Central Business District
35TH AVE SW,SW 102ND ST,Arbor Heights
S MICHIGAN ST,EAST MARGINAL WAY S,Georgetown
172ND AVE NE,NE 115TH WAY,Pinehurst
34TH AVE,E OLIVE ST,Madrona
QUEEN ANNE AVE N,MCGRAW ST,East Queen Anne
3RD AVE W,W ARMOUR ST,North Queen Anne
LK CITY WAY NE,NE 125TH ST,Cedar Park
6TH AVE W,W HOWE ST,West Queen Anne
35TH AVE NE,33RD PL NE,Matthews Beach
S DEARBORN ST,6TH AVE S,International District
31ST AVE S,S LANDER ST,Mount Baker
S LANDER ST,3RD AVE S,Industrial District
CALIFORNIA AVE SW,SW SEATTLE ST,North Admiral
LK DELL AVE,E SPRUCE ST,Leschi
LK CITY WAY NE,NE 137TH ST,Cedar Park
SE ALLEN RD,138TH AVE SE,Bitter Lake
NE 65TH ST,27TH AVE NE,Ravenna
EAST GREEN LK DR N,ORIN CT N,Green Lake
AURORA AVE N,THOMAS ST,South Lake Union
JAMES ST,5TH AVE,Pioneer Square
RAVENNA AVE NE,NE 86TH ST,Wedgwood
SAND PT WAY NE,40TH AVE NE,Laurelhurst
E CHERRY ST,24TH AVE,Mann
MARTIN L KING JR WAY,S RAYMOND ST,Columbia City
NE 178TH PL,138TH PL NE,Bitter Lake
NE 50TH ST,UNIVERSITY WAY NE,University District
16TH AVE SW,SW THISTLE ST,Highland Park
ALASKAN WAY,WALL ST,Belltown
TAYLOR AVE N,LEE ST,East Queen Anne
BOYLSTON AVE E,E LYNN ST,Montlake
NE NORTHGATE WAY,5TH AVE NE,Pinehurst
AURORA AVE N,11200 BLOCK,Haller Lake
15TH AVE NE,NE 120TH ST,Victory Heights
128TH AVE NE,MAIN ST,Pioneer Square
E OLIVE WAY,BROADWAY E,Broadway
EASTLAKE AVE E,HARRISON ST,Broadway
AVONDALE RD NE,NE 116TH ST,Pinehurst
FAUNTLEROY WAY SW,SW MYRTLE ST,Gatewood
55TH AVE SW,SW ANDOVER ST,Alki
S ORCAS ST,55TH AVE S,Seward Park
SODO BUSWAY,S ROYAL BROUGHAM WAY,Industrial District
4TH AVE S,S HOLGATE ST,Industrial District
NE 55TH ST,39TH AVE NE,Bryant
E CHERRY ST,MARTIN L KING JR WAY,Madrona
35TH AVE SW,SW IDA ST,Roxhill
GREENWOOD AVE N,N 103RD ST,Greenwood
BAKER BLVD,ANDOVER PARK W,Industrial District
LATONA AVE NE,NE 50TH ST,Wallingford
PHINNEY AVE N,N 55TH ST,Phinney Ridge
W OLYMPIC PL,3RD AVE W,Lower Queen Anne
SE CLARK ST,2ND AVE SE,Central Business District
15TH AVE S,S SHELTON ST,Mid-Beacon Hill
NW MARKET ST,30TH AVE NW,Adams
SAND PT WAY NE,NE 70TH ST,Sand Point
SW 325TH ST,32ND AVE SW,Arbor Heights
NE 132ND ST,118TH AVE NE,Meadowbrook
LATONA AVE NE,NE 59TH ST,Wallingford
W GOVERNMENT WAY,36TH AVE W,Lawton Park
TALBOT RD S,S 26TH ST,Adams
LK CITY WAY NE,24TH AVE NE,Meadowbrook
SE 256TH ST,140TH AVE SE,Haller Lake
15TH AVE NW,NW 96TH ST,Crown Hill
NE 75TH ST,52ND AVE NE,View Ridge
GREENWOOD AVE N,N 117TH ST,Bitter Lake
OLYMPIC WAY W,7TH AVE W,West Queen Anne
OLIVE WAY,8TH AVE,Central Business District
NW 85TH ST,MARY AVE NW,Crown Hill
CALIFORNIA AVE SW,SW HILL ST,North Admiral
WEST VIEWMONT WAY W,WESTMONT WAY W,Briarcliff
WILLOWS RD NE,NE 116TH ST,Pinehurst
12TH AVE NE,NE 70TH ST,Roosevelt
MONROE AVE,RAILROAD ST,Bryant
I-90,RAINIER FRWY STA,Atlantic
BEACH DR SW,SW SHORE PL,Seaview
3RD AVE W,W SMITH ST,North Queen Anne
ROOSEVELT WAY NE,NE 102ND ST,Maple Leaf
MAIN AVE S,S 4TH ST,International District
E UNION ST,MARTIN L KING JR WAY,Madrona
130TH AVE NE,NE 30TH ST,Olympic Hills
NW 85TH ST,EARL AVE NW,North Beach/Blue Ridge
SW ADMIRAL WAY,45TH AVE SW,North Admiral
LATONA AVE NE,NE 54TH ST,Wallingford
35TH AVE SW,SW FINDLAY ST,High Point
STEWART ST,9TH AVE,Belltown
OLIVE WAY,TERRY AVE,Central Business District
W MCGRAW ST,32ND AVE W,Southeast Magnolia
MARTIN L KING JR WAY,37TH AVE S,Columbia City
CALIFORNIA AVE SW,SW HOLLY ST,Gatewood
1ST AVE,UNIVERSITY ST,Central Business District
1ST AVE,PINE ST,Central Business District
STONE WAY N,N 38TH ST,Wallingford
BEACON AVE S,S BAYVIEW ST,North Beacon Hill
SW CHARLESTOWN ST,49TH AVE SW,North Admiral
41ST AVE SW,SW MONROE ST,Gatewood
LK CITY WAY NE,NE 95TH ST,Meadowbrook
9TH AVE NE,NE ELLIS DR,Georgetown
NE 8TH ST,94TH AVE NE,Maple Leaf
13TH AVE,E PIKE ST,Broadway
28TH AVE W,W RUFFNER ST,Lawton Park
228TH AVE NE,NE 8TH ST,First Hill
15TH AVE SW,SW 107TH ST,Victory Heights
140TH AVE NE,NE 1ST PL,Haller Lake
5TH AVE NE,NE 100TH ST,Maple Leaf
AURORA AVE N,N 90TH ST,North College Park
GREENWOOD AVE N,N GREENWOOD DR,Greenwood
23RD AVE,E MARION ST,Mann
E PINE ST,10TH AVE,Broadway
GLENN WAY SW,SW GENESEE ST,Genesee
15TH AVE NE,NE 100TH ST,Victory Heights
DENNY WAY,5TH AVE N,South Lake Union
42ND AVE E,E LYNN ST,Madison Park
BROADWAY E,E JOHN ST,Broadway
15TH AVE NE,NE 75TH ST,Roosevelt
MARTIN L KING JR WAY,S IRVING ST,Mount Baker
16th Ave SW,SW Findlay St,Riverview
MAPLE ST NW,NW GILMAN BLVD,Interbay
SW ALASKA ST,44TH AVE SW,Genesee
S COLUMBIAN WAY,S SPOKANE ST,North Beacon Hill
OLYMPIC WAY W,W PROSPECT ST,West Queen Anne
3RD AVE,MADISON ST,Central Business District
GREENWOOD AVE N,N 100TH ST,Greenwood
34TH AVE,E COLUMBIA ST,Madrona
CALIFORNIA AVE SW,ERSKINE WAY SW,Genesee
ELLIOTT AVE W,W GALER ST,West Queen Anne
3RD AVE NW,NW 105TH ST,Broadview
EAST MARGINAL WAY S,S WEBSTER ST,Georgetown
DELRIDGE WAY SW,SW OREGON ST,North Delridge
8TH AVE S,S THISTLE ST,South Park
SE 26TH ST,137TH AVE SE,Olympic Hills
ALASKAN WAY,UNIVERSITY ST,Central Business District
6TH AVE W,W GARFIELD ST,West Queen Anne
28TH AVE NW,NW 90TH ST,North Beach/Blue Ridge
SW MORGAN ST,38TH AVE SW,Gatewood
15TH AVE S,S ORCAS ST,Mid-Beacon Hill
S JACKSON ST,BOREN AVE S,Atlantic
LATONA AVE NE,NE 51ST ST,Wallingford
24TH AVE NW,NW 70TH ST,Loyal Heights
MARKET ST,20TH AVE,Adams
SR 515,S 15TH ST,Whittier Heights
15TH AVE E,E HIGHLAND DR,Stevens
10TH AVE E,E HOWE ST,Montlake
SEWARD PK AVE S,S WILLOW ST,Seward Park
E MADISON ST,23RD AVE E,Mann
SW 106TH ST,CALIFORNIA AVE SW,Arbor Heights
SEWARD PK AVE S,56TH AVE S,Dunlap
14TH AVE S,S TRENTON ST,South Park
PHINNEY AVE N,N 46TH ST,Fremont
SENECA ST,8TH AVE,First Hill
64TH AVE S,W JAMES ST,Pioneer Square
40TH AVE NE,NE 50TH ST,Bryant
SEWARD PK AVE S,S JUNEAU ST,Seward Park
NW 100TH PL,7TH AVE NW,Greenwood
RAILROAD AVE SE AVE ,SE KING ST,Columbia City
NE 45TH ST,BROOKLYN AVE NE,University District
SW ROXBURY ST,15TH AVE SW,Highland Park
15TH AVE NE,NE 43RD ST,University District
W RAYE ST,1ST AVE W,North Queen Anne
166TH AVE NE,NE 91ST ST,Maple Leaf
QUEEN ANNE AVE N,GARFIELD ST,East Queen Anne
BEACON AVE S,S HOLLY ST,Mid-Beacon Hill
LK DR,12TH AVE NW,Minor
LATONA AVE NE,NE 64TH ST,Green Lake
SE NEWPORT WAY,SE 42ND PL,Dunlap
RAVENNA AVE NE,NE 54TH ST,Ravenna
SW ROXBURY ST,5TH AVE SW,Highland Park
NE 75TH ST,12TH AVE NE,Roosevelt
HOLMAN RD NW,MARY AVE NW,Crown Hill
RENTON AVE S,S HAZEL ST,Rainier View
WOODLAWN AVE NE,5TH AVE NE,Green Lake
MARION ST,1ST AVE,Central Business District
GILMAN AVE W,25TH AVE W,Interbay
DEXTER AVE N,GALER ST,Westlake
1ST AVE S,S JACKSON ST,Pioneer Square
LINDEN AVE N,N 68TH ST,Phinney Ridge
HARVARD AVE E,EASTLAKE AVE E,Portage Bay
BROADWAY,E TERRACE ST,Yesler Terrace
NE 80TH ST,15TH AVE NE,Roosevelt
AURORA AVE N,CROCKETT ST,East Queen Anne
5TH AVE,SENECA ST,Central Business District
SE ALLEN RD,139TH AVE SE,Haller Lake
SW BARTON ST,26TH AVE SW,Roxhill
FRONT ST N,NE ALDER ST,Yesler Terrace
RAINIER AVE S,S ORCAS ST,Columbia City
55TH AVE SW,SW DAKOTA ST,Alki
DENSMORE AVE N,N 128TH ST,Haller Lake
E ALDER ST,35TH AVE,Leschi
8TH AVE S,S MONROE ST,South Park
SAND PT WAY NE,NE 74TH ST,Sand Point
E MADISON ST,17TH AVE,Minor
MARTIN L KING JR WAY,E UNION ST,Madrona
32ND AVE NW,NW 61ST ST,Adams
1ST AVE,SENECA ST,Central Business District
PHINNEY AVE N,N 60TH ST,Phinney Ridge
BEACON AVE S,37TH AVE S,South Beacon Hill
NE BIG ROCK RD,NE 109TH ST,Matthews Beach
SW OREGON ST,DELRIDGE WAY SW,North Delridge
35TH AVE SW,SW CLOVERDALE ST,Roxhill
11TH AVE NE,NE 50TH ST,University District
15TH AVE SW,SW 106TH ST,Victory Heights
E MCGILVRA ST,42ND AVE E,Madison Park
48TH AVE SW,SW EDDY ST,Seaview
SW GENESEE ST,47TH AVE SW,Genesee
N 85TH ST,FREMONT AVE N,Greenwood
DELRIDGE WAY SW,SW GENESEE ST,North Delridge
CALIFORNIA AVE SW,SW WILLOW ST,Gatewood
NE 8TH ST,106TH AVE NE,Maple Leaf
BOREN AVE,JEFFERSON ST,Yesler Terrace
5TH AVE NE,NE 130TH ST,Pinehurst
AUBURN WAY N,30TH ST NE,Ravenna
WILLOWS RD NE,NE 95TH ST,Maple Leaf
COLUMBIA ST,2ND AVE,Central Business District
NE 12TH ST,120TH AVE NE,Pinehurst
9TH AVE,MARION ST,First Hill
NW 54TH ST,32ND AVE NW,Adams
JUANITA WOODINVIL WA,NE 140TH ST,Haller Lake
156TH AVE NE,NE 45TH CT,West Woodland
S 251ST ST,9TH AVE S,Mid-Beacon Hill
TAYLOR AVE N,5TH AVE N,East Queen Anne
NE 144TH ST,124TH AVE NE,Minor
AURORA AVE N,N 145TH ST,Haller Lake
CENTRAL AVE N,E JAMES ST,Minor
SEWARD PK AVE S,57TH AVE S,Seward Park
3RD AVE,JAMES ST,Pioneer Square
35TH AVE SW,SW 110TH ST,Arbor Heights
140TH AVE NE,NE 8TH ST,First Hill
E MADISON ST,25TH AVE E,Mann
132ND AVE NE,NE 114TH ST,Pinehurst
4TH AVE SW,SW 110TH ST,Broadview
34TH AVE,E UNION ST,Madrona
35TH AVE NE,NE 85TH ST,Wedgwood
24TH AVE NW,NW 96TH ST,North Beach/Blue Ridge
41ST AVE SW,SW PORTLAND ST,Gatewood
NW 85TH ST,3RD AVE NW,Greenwood
BOSTON ST,NOB HILL AVE N,East Queen Anne
FAIRWAY AVE SE,SE RIDGE ST,View Ridge
NE 75TH ST,15TH AVE NE,Roosevelt
ROOSEVELT WAY NE,NE 111TH ST,Pinehurst
15TH AVE W,W EMERSON ST,North Queen Anne
ROOSEVELT WAY NE,NE 69TH ST,Roosevelt
28TH AVE W,W FULTON ST,Southeast Magnolia
MAIN ST,102ND AVE NE,Maple Leaf
N 130TH ST,GREENWOOD AVE N,Bitter Lake
TALBOT RD S,S 23RD ST,Atlantic
PREFONTAINE PL S,YESLER WAY,Pioneer Square
ROOSEVELT WAY NE,NE 108TH ST,Maple Leaf
31ST AVE S,S IRVING ST,Leschi
NORTHUP WAY,124TH AVE NE,Minor
124TH AVE NE,NE 142ND PL,Cedar Park
4TH AVE S,S FIDALGO ST,Georgetown
RENTON AVE S,S BARTON ST,Dunlap
BOREN AVE,SENECA ST,First Hill
Redmond Transit Cent,NE 83rd St,Roosevelt
8TH AVE NW,NW 100TH PL,Greenwood
DENNY WAY,DEXTER AVE,South Lake Union
24TH AVE E,BOYER AVE E,Montlake
E MADISON ST,E GARFIELD ST,Madison Park
E MADISON ST,41ST AVE E,Madison Park
72ND AVE SE,SE 29TH ST,Ravenna
8TH AVE S,S CLOVERDALE ST,South Park
VIEW AVE NW,GOLDEN GDNS DR NW,North Beach/Blue Ridge
VIEWMONT WAY W,EDGEMONT PL W,Briarcliff
W BLAINE ST,27TH AVE W,Interbay
LATONA AVE NE,NE 44TH ST,Wallingford
SW THISTLE ST,37TH AVE SW,Gatewood
S CHARLES ST,GOLF DR S,North Beacon Hill
WILSON AVE S,S HUDSON ST,Seward Park
DENNY WAY,DEXTER AVE N,South Lake Union
STEWART ST,YALE AVE,South Lake Union
NW MARKET ST,3RD AVE NW,Phinney Ridge
SW 106TH ST,41ST AVE SW,Arbor Heights
ISSAQUAH PINE LK RD ,SE 37TH PL,Mount Baker
MADISON ST,BROADWAY,First Hill
AUBURN WAY N,17TH ST NE,University District
228TH AVE SE,SE 40TH ST,Fremont
N 205TH ST,AURORA AVE N,South Lake Union
ROOSEVELT WAY NE,NE 100TH ST,Maple Leaf
E CHERRY ST,25TH AVE,Mann
FAUNTLEROY WAY SW,SW BARTON ST,Fauntleroy
GRANT LN,STEVENS WAY,University District
15TH AVE NE,NE NORTHGATE WAY,Victory Heights
E YESLER WAY,14TH AVE S,Minor
29TH ST NE,62ND AVE NE,Ravenna
NE 175TH ST,138TH PL NE,Bitter Lake
YESLER WAY,POST AVE,Pioneer Square
51ST AVE S,S HAZEL ST,Rainier View
E MADISON ST,19TH AVE,Minor
MAGNOLIA BRDG,PIER 91,Interbay
NE 205TH ST,56TH AVE W,Alki
MERIDIAN AVE N,N NORTHGATE WAY,Haller Lake
S JACKSON ST,28TH AVE S,Leschi
4TH AVE S,S LUCILE ST,Georgetown
NE 55TH ST,PRINCETON AVE NE,Windermere
132ND AVE NE,NE 108TH ST,Maple Leaf
VASHON HWY SW,SW BURTON DR,Interbay
S PRENTICE ST,64TH AVE S,Rainier Beach
12TH AVE NE,NE 45TH ST,University District
LIND AVE SW,SW 16TH ST,Whittier Heights
MARINE VIEW DR SW,SW 104TH ST,Arbor Heights
24TH AVE NW,NW 85TH ST,North Beach/Blue Ridge
130TH AVE NE,NE 28TH PL,Lawton Park
44TH AVE SW,MARINE VIEW DR SW,Arbor Heights
30TH AVE W,W EMERSON ST,Lawton Park
4TH AVE,UNIVERSITY ST,Central Business District
W NICKERSON ST,JESSE AVE W,North Queen Anne
NE 55TH ST,33RD AVE NE,Ravenna
15TH AVE S,S DAKOTA ST,North Beacon Hill
ELLIS AVE S,S WARSAW ST,Georgetown
SNOQUALMIE PKWY,FISHER AVE SE,Dunlap
SE 8TH ST,118TH AVE SE,Broadview
CARKEEK DR S,40TH AVE S,South Beacon Hill
6TH AVE W,W RAYE ST,North Queen Anne
E UNION ST,29TH AVE,Madrona
E JAMES ST,JASON AVE N,Maple Leaf
19TH AVE E,E PROSPECT ST,Stevens
CONDON WAY W,W NEWTON ST,Southeast Magnolia
15TH AVE S,S STEVENS ST,North Beacon Hill
THORNDYKE AVE W,W BOSTON ST,Interbay
220TH AVE SE,SE 51ST ST,Rainier Beach
NE 65TH ST,ROOSEVELT WAY NE,Roosevelt
130TH AVE NE,NE 26TH PL,Olympic Hills
CANYON DR SE,94TH AVE S,Maple Leaf
GREENWOOD AVE N,N 107TH ST,Bitter Lake
NW 103RD ST,13TH AVE NW,Crown Hill
AIRPT WAY S,S CHARLESTOWN ST,Industrial District
CALIFORNIA AVE SW,SW DAKOTA ST,Genesee
SW 16TH ST,RAYMOND AVE SW,Seaview
FAUNTLEROY WAY SW,CALIFORNIA AVE SW,Fairmount Park
32ND AVE NW,NW 73RD ST,Sunset Hill
DEXTER AVE N,2500 BLOCK,East Queen Anne
CALIFORNIA AVE SW,SW HANFORD ST,North Admiral
NE 45TH ST,ROOSEVELT WAY NE,University District
15TH AVE S,S NEVADA ST,North Beacon Hill
AUBURN WAY S,32ND ST SE,Columbia City
S 272ND ST,41ST PL S,University District
MARINE VIEW DR SW,SW 112TH ST,Arbor Heights
S 304TH ST,28TH AVE S,Holly Park
MONTLAKE BLVD E,E LK WASHINGTON BLVD,Montlake
220TH AVE SE,SE 56TH ST,Rainier View
E JEFFERSON ST,21ST AVE,Minor
W NICKERSON ST,12TH AVE W,North Queen Anne
BALLINGER WAY NE,35TH AVE NE,Ravenna
NE 33RD ST,WEST LAURELHURST DR ,Laurelhurst
NE 197TH ST,40TH PL NE,Bryant
NW 85TH ST,31ST AVE NW,North Beach/Blue Ridge
MICROSOFT WAY,NE 36TH ST,Laurelhurst
123RD AVE SE,SE 20TH PL,Victory Heights
SAND PT WAY NE,MATTHEWS PL NE,Matthews Beach
STONE WAY N,N ALLEN PL,Wallingford
41ST AVE SW,SW SOUTHERN ST,Gatewood
NW GILMAN BLVD,4TH AVE NW,Fremont
W VALLEY HWY N,20TH ST NW,Adams
E MADISON ST,12TH AVE,Minor
GARFIELD ST,2ND AVE N,East Queen Anne
EAST MARGINAL WAY S,CORSON AVE S,Georgetown
4TH AVE S,S BENNETT ST,Industrial District
AIRPT WAY S,S SNOQUALMIE ST,Industrial District
S COLUMBIAN WAY,S ANGELINE ST,North Beacon Hill
BOREN AVE,COLUMBIA ST,First Hill
FREMONT AVE N,N 42ND ST,Fremont
THORNDYKE AVE W,THORNDYKE PL W,Interbay
166TH AVE NE,NE 95TH ST,Maple Leaf
S 320TH ST,32ND AVE S,South Beacon Hill
35TH AVE NE,NE 88TH ST,Wedgwood
16TH AVE SW,SW HOLDEN ST,Riverview
S Federal Way P&R Ac,9th Ave S,Mid-Beacon Hill
HOLMAN RD NW,7TH AVE NW,Greenwood
3RD AVE NW,NW 140TH ST,Broadview
5TH AVE NE,NE 80TH ST,Roosevelt
24TH AVE E,E PROSPECT ST,Stevens
NW MARKET ST,20TH AVE NW,Adams
NE 80TH ST,19TH AVE NE,Ravenna
E UNION ST,14TH AVE,Minor
DELRIDGE WAY SW,SW HUDSON ST,North Delridge
S COLUMBIAN WAY,BEACON AVE S,Columbia City
N 36TH ST,PHINNEY AVE N,Fremont
19TH AVE E,E MILLER ST,Montlake
51ST AVE S,S FLETCHER ST,Rainier Beach
NW 85TH ST,24TH AVE NW,North Beach/Blue Ridge
MARTIN L KING JR WAY,S MCCLELLAN ST,Mount Baker
31ST AVE S,S WALKER ST,Mount Baker
BELLEVUE AVE E,E THOMAS ST,Broadway
NE 201ST PL,44TH PL NE,View Ridge
NW 65TH ST,15TH AVE NW,Whittier Heights
THORNDYKE AVE W,W HAYES ST,Interbay
TEXAS WAY,W GOVERNMENT WAY,Lawton Park
51ST AVE S,S CRESTON ST,Rainier Beach
ALKI AVE SW,59TH AVE SW,Alki
GRIFFIN AVE,GARFIELD ST,East Queen Anne
21ST AVE,E JAMES ST,Minor
NE 40TH ST,7TH AVE NE,University District
RAINIER AVE S,S DEARBORN ST,Atlantic
15TH ST NE,D ST NE,Victory Heights
LK CITY WAY NE,NE 115TH ST,Meadowbrook
40TH AVE NE,NE 75TH ST,Wedgwood
25TH AVE NE,NE 82ND ST,Wedgwood
15TH AVE S,S DAWSON ST,Mid-Beacon Hill
NE 40TH ST,NE BEL-RED RD,Eastlake
E MADISON ST,22ND AVE E,Mann
S WALKER ST,25TH AVE S,Atlantic
ROOSEVELT WAY NE,NE 65TH ST,Roosevelt
RAINIER AVE S,33RD AVE S,Mount Baker
4th Ave,Bell St,Belltown
15TH AVE NE,NE 55TH ST,University District
GREENWOOD AVE N,N 75TH ST,Greenwood
CALIFORNIA AVE SW,SW MILLS ST,Gatewood
DISCOVERY PARK RD,TEXAS WAY,Lawton Park
19TH AVE E,E DENNY WAY,Stevens
N 35TH ST,WALLINGFORD AVE N,Wallingford
SAHALEE WAY NE,NE 36TH ST,Laurelhurst
3RD AVE W,W MCGRAW ST,North Queen Anne
S ALASKA ST,35TH AVE S,Columbia City
MERIDIAN AVE N,N 143RD ST,Haller Lake
QUEEN ANNE AVE N,WARD ST,East Queen Anne
140TH AVE NE,NE 20TH ST,Olympic Hills
SUMMIT AVE E,E HARRISON ST,Broadway
SW ROXBURY ST,12TH AVE SW,Highland Park
15TH AVE NW,NW 80TH ST,Whittier Heights
W MCGRAW ST,3RD AVE W,North Queen Anne
164TH AVE SE,SE 46TH WAY,West Woodland
3RD AVE,MARION ST,Central Business District
55TH AVE NE,NE 42ND ST,Windermere
SW OREGON ST,CALIFORNIA AVE SW,Genesee
NE 20TH ST,136TH PL NE,Olympic Hills
Federal Way TC AcRd,23rd Ave S,Mid-Beacon Hill
30TH AVE NE,NE 140TH ST,Olympic Hills
10TH AVE W,W CROCKETT ST,West Queen Anne
S GENESEE ST,43RD AVE S,Seward Park
31ST AVE S,S MASSACHUSETTS ST,Mount Baker
51ST AVE S,S 107TH ST,Rainier Beach
Auburn Sounder Stati,1st St SW,Georgetown
NE RAVENNA BLVD,NE 65TH ST,Green Lake
PHINNEY AVE N,N 58TH ST,Phinney Ridge
9TH ST NE,AUBURN WAY N,Stevens
112TH AVE SE,MAIN ST,Pioneer Square
EAST GREEN LK DR N,SUNNYSIDE AVE N,Green Lake
4TH AVE S,S INDUSTRIAL WAY,Industrial District
63RD AVE SW,SW ADMIRAL WAY,Alki
35TH AVE NE,NE 105TH ST,Matthews Beach
LIND AVE SW,SW 39TH ST,Gatewood
JEFFERSON ST,9TH AVE,Yesler Terrace
BEACH DR SW,SW SNOQUALMIE ST,Alki
UNIVERSITY WAY NE,NE 43RD ST,University District
116TH AVE NE,NE 12TH ST,Broadview
NE PACIFIC PL,NE PACIFIC ST,University District
2ND AVE NE,NE 40TH ST,Wallingford
S COLUMBIAN WAY,S AMERICUS ST,Mid-Beacon Hill
THORNDYKE AVE W,W NEWTON ST,Interbay
ROOSEVELT WAY NE,NE 53RD ST,University District
MARTIN L KING JR WAY,S OTHELLO ST,Brighton
AIRPT WAY S,S LANDER ST,Industrial District
49TH AVE SW,SW HUDSON ST,Seaview
BEACON AVE S,15TH AVE S,North Beacon Hill
35TH AVE NE,NE 73RD ST,Bryant
31ST AVE S,S NORMAN ST,Leschi
5TH AVE,PINE ST,Central Business District
NW MARKET ST,32ND AVE NW,Adams
E UNION ST,16TH AVE,Minor
WEST LK SAMMAMISH PK,SE 12TH PL,University District
11TH AVE NE,NE 47TH ST,University District
S ALASKA ST,ML KING JR WAY WAY S,Columbia City
34TH AVE W,W ARMOUR ST,Southeast Magnolia
E LYNN ST,19TH AVE E,Montlake
15TH AVE,E HOWELL ST,Stevens
W GALER ST,5TH AVE W,West Queen Anne
5TH AVE NE,NE 97TH ST,Maple Leaf
SW ROXBURY ST,26TH AVE SW,South Delridge
